资源编号,分类,路径,类型,现有索引,当前用途说明,建议动作,确认结果,备注
ART-0001,字体,Assets/Game/Font/Common/AlibabaPuHuiTi-3-85-Bold.ttf,字体（TTF）,未发现现有索引,项目备用字体,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0002,字体,Assets/Game/Font/Common/AlibabaPuHuiTi-3-85-Bold-Title SDF.mat,材质（MAT）,未发现现有索引,项目备用字体,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0003,字体,Assets/Game/Font/Common/AlibabaSansJP.ttf,字体（TTF）,未发现现有索引,项目备用字体,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0004,字体,Assets/Game/Font/Common/AlibabaSansKR.ttf,字体（TTF）,未发现现有索引,项目备用字体,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0005,材质,Assets/Game/Materials/Common/UIHighLight.mat,材质（MAT）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0006,材质,Assets/Game/Materials/Common/UIMaskBg.mat,材质（MAT）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0007,材质,Assets/Game/Materials/Common/UIMasked.mat,材质（MAT）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0008,其他美术,Assets/Game/Prefabs/Core/GFExtension.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0009,其他美术,Assets/Game/Prefabs/Entity/Actors/Boss.prefab,预制体（PREFAB）,运行时索引：actor.boss,运行时通过资源键 actor.boss 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0010,其他美术,Assets/Game/Prefabs/Entity/Actors/LightAI.prefab,预制体（PREFAB）,运行时索引：actor.lightAi,运行时通过资源键 actor.lightAi 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0011,其他美术,Assets/Game/Prefabs/Entity/Actors/NpcMerchant.prefab,预制体（PREFAB）,运行时索引：npc.merchant,运行时通过资源键 npc.merchant 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0012,其他美术,Assets/Game/Prefabs/Entity/Actors/NpcTattooist.prefab,预制体（PREFAB）,运行时索引：npc.tattooist,运行时通过资源键 npc.tattooist 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0013,其他美术,Assets/Game/Prefabs/Entity/Actors/Player.prefab,预制体（PREFAB）,运行时索引：actor.player.1,运行时通过资源键 actor.player.1 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0014,其他美术,Assets/Game/Prefabs/Entity/Actors/SmartAI.prefab,预制体（PREFAB）,运行时索引：actor.smartAi,运行时通过资源键 actor.smartAi 加载；原始用途说明见运行时资产索引。,确认保留，继续由运行时索引加载,待确认,
ART-0015,界面,Assets/Game/Prefabs/UI/CharacterSelect.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0016,界面,Assets/Game/Prefabs/UI/CombatHUD.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0017,界面,Assets/Game/Prefabs/UI/MainMenu.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0018,界面,Assets/Game/Prefabs/UI/PauseMenu.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0019,界面,Assets/Game/Prefabs/UI/RunResult.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0020,界面,Assets/Game/Prefabs/UI/SelfTattoo.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0021,界面,Assets/Game/Prefabs/UI/Settings.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0022,界面,Assets/Game/Prefabs/UI/Shop.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0023,界面,Assets/Game/Prefabs/UI/StartupSelect.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0024,界面,Assets/Game/Prefabs/UI/TattooEnchant.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0025,界面,Assets/Game/Prefabs/UI/TattooStudio.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0026,界面,Assets/Game/Prefabs/UI/ThreeChoice.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0027,界面,Assets/Game/ScriptsBuiltin/Editor/UI/Templates/UIDialogTemplate.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0028,界面,Assets/Game/ScriptsBuiltin/Editor/UI/Templates/UIFormTemplate.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0029,界面,Assets/Game/ScriptsBuiltin/Editor/UI/Templates/UIItemTemplate.prefab,预制体（PREFAB）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0030,角色,Assets/Resources/Anim/Character/Boss1/Attack_Down.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0031,角色,Assets/Resources/Anim/Character/Boss1/Attack_Left.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
ART-0032,角色,Assets/Resources/Anim/Character/Boss1/Attack_Right.anim,动画（ANIM）,未发现现有索引,,确认用途；在用则补索引，弃用则标记待删除,待确认,
